experiment,object,model,ratio,psnr,kid,ssim,lpips,accuracy,roc_auc,human_score,psnr_n,kid_n,ssim_n,lpips_n,accuracy_n,roc_auc_n,human_score_n,composite_score,pca_score,human_fused
croissant_50_50_DM,croissant,DM,50_50,17.95,0.0155,0.6095,0.2188,0.9642857142857143,1.0,4.1725,0.6276923076923073,1.0,0.8317875210792582,0.8374402353806547,0.9333333333333333,1.0,0.8731428571428572,0.8909872445104602,0.41191334582838396,4.172260000000006
croissant_70r_30s_GAN,croissant,GAN,70r_30s,19.402,0.02128,0.6494,0.1746,0.8571428571428571,0.975,2.5705,1.0,0.8497139885595424,1.0,1.0,0.7333333333333333,0.8399999999999999,0.14079999999999993,0.7277980655226208,0.9206704352651431,2.56844
croissant_100real_GAN,croissant,GAN,100real,19.402,0.02128,0.6494,0.1746,1.0,1.0,2.7025,1.0,0.8497139885595424,1.0,1.0,1.0,1.0,0.20114285714285712,0.8251999702845255,0.8585206123361645,2.768169999999996
croissant_30r_70s_DM,croissant,DM,30r_70s,17.95,0.0155,0.6095,0.2188,0.9642857142857143,1.0,4.1815,0.6276923076923073,1.0,0.8317875210792582,0.8374402353806547,0.9333333333333333,1.0,0.8772571428571426,0.8918101016533173,0.41076764983488784,4.180495000000007
croissant_100real_DM,croissant,DM,100real,17.95,0.0155,0.6095,0.2188,0.8571428571428571,1.0,4.15,0.6276923076923073,1.0,0.8317875210792582,0.8374402353806547,0.7333333333333333,1.0,0.862857142857143,0.8489301016533173,0.43634201913488185,4.158444999999997
croissant_30r_70s_GAN,croissant,GAN,30r_70s,19.402,0.02128,0.6494,0.1746,1.0,1.0,2.3945,1.0,0.8497139885595424,1.0,1.0,1.0,1.0,0.060342857142857,0.7970399702845256,0.8977288752247021,2.5079499999999966
croissant_100syn_DM,croissant,DM,100syn,17.95,0.0155,0.6095,0.2188,0.9285714285714286,1.0,4.195,0.6276923076923073,1.0,0.8317875210792582,0.8374402353806547,0.8666666666666667,1.0,0.8834285714285715,0.8797110540342696,0.4162372502855625,4.187064999999999
croissant_50_50_GAN,croissant,GAN,50_50,19.402,0.02128,0.6494,0.1746,0.9642857142857143,0.9937499999999999,2.4825,1.0,0.8497139885595424,1.0,1.0,0.9333333333333333,0.9599999999999994,0.10057142857142846,0.7837523512369065,0.897863084822164,2.477639999999995
croissant_70r_30s_DM,croissant,DM,70r_30s,17.95,0.0155,0.6095,0.2188,0.9285714285714286,1.0,4.1635,0.6276923076923073,1.0,0.8317875210792582,0.8374402353806547,0.8666666666666667,1.0,0.8690285714285714,0.8768310540342696,0.42024718626279933,4.1684350000000014
croissant_100syn_GAN,croissant,GAN,100syn,19.402,0.02128,0.6494,0.1746,0.4642857142857143,0.84375,2.2625,1.0,0.8497139885595424,1.0,1.0,0.0,0.0,0.0,0.3849713988559542,1.1260652326224192,2.3218099999999957
